"type","season","week","day","first_course","second_course","side_dish","fruit","snack"
"1","1","4","1","Pasta al Pomodoro ","Polpette di carne  ","Fagiolini ","Frutta di stagione  ","Gelato  "
"1","1","4","2","Pasta con olio e parmigiano   ","Hamburger  ","zucchine  ","Frutta di stagione  ","Yogurt  "
"1","1","4","3","Pasta tonno e Pomodoro ","Mozzarella ","Spinaci  ","Frutta di stagione  ","Pane e Cioccolato  "
"1","1","4","4","Pizza margherita  ","Insalata mista con legumi "," -","Frutta di stagione  ","Frutta di stagione  "
"1","1","4","5","Gnocchi al pesto  ","tonno ","Pomodori","Frutta di stagione  ","Crostatina  "
"3","1","1","1","Pasta con olio","Fusi di pollo  ","Zucchine ","Frutta di stagione  ","Pane e marmellata"
"3","1","1","2","Gnocchi senza lattosio con il pomodoro   ","Arrosto di maiale  ","Spinaci ","Frutta di stagione  ","Frutta di stagione  "
"3","1","1","3","Insalata di riso   ","Affettato di tacchino","Insalata  ","Frutta di stagione  ","Gelato  senza lattosio"
"3","1","1","4","Pasta alla norma  "," Polpette di manzo   ","Piselli ","Frutta di stagione  ","Cracker senza sale"
"3","1","1","5","Pasta al Tonno","Filetto di merluzzo  ","Carote   ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"3","1","2","1","Pasta al pomodoro  ","Hamburger  ","Spinaci  ","Frutta di stagione  ","Yogurt senza lattosio"
"3","1","2","2","Pasta al forno ","Prosciutto    ","Insalata   ","Frutta di stagione  ","Frutta di stagione"
"3","1","2","3","Pasta con olio   ","Tonno ","Zucchine  ","Frutta di stagione  ","Brioches senza lattosio"
"3","1","2","4","Risotto allo zafferano  ","Petto di pollo  ","Fagiolini  ","Frutta di stagione  ","Gelato  senza lattosio"
"3","1","2","5","Pasta alle Zucchine","Pesce  al forno ","Pomodori ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"3","1","3","1","Gnocchi senza lattosio all’olio","Spiedini  ","Fagiolini  ","Frutta di stagione  ","Brioches senza lattosio   "
"3","1","3","2","Pasta e Piselli ","Tonno","Pomodori","Frutta di stagione  ","Frutta di stagione"
"3","1","3","3","Pasta con crema di Zucchine ","insalatona (con prosciutto, ,olive ,e verdure juillienne) ","-","Frutta di stagione  ","Pane e cioccolato"
"3","1","3","4","Pasta fredda ","Fusi di pollo  ","insalata ","Frutta di stagione  ","Gelato  senza lattosio"
"3","1","3","5","Pasta al pomodoro ","Filetto di merluzzo panato  ","Carote ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"3","1","4","1","Pasta al pomodoro ","Polpette di carne  ","Fagiolini ","Frutta di stagione  ","Gelato  senza lattosio"
"3","1","4","2","Pasta con olio e parmigiano   ","Hamburger  ","Zucchine  ","Frutta di stagione  ","Yogurt  senza lattosio"
"3","1","4","3","Pasta Tonno e pomodoro ","mozzarella ","Spinaci ","Frutta di stagione  ","pane e marmellata"
"3","1","4","4","Pizza margherita  ","Insalata mista con legumi ","-","Frutta di stagione  ","Frutta di stagione  "
"3","1","4","5","Gnocchi al pesto  ","Tonno ","Pomodori ","Frutta di stagione  ","Succo 100% e biscotti senza lattosio"
"2","1","1","1","Pasta senza glutine olio e parmigiano  ","Fusi di pollo  ","Zucchine ","Frutta di stagione  ","Muffin al cioccolato senza glutine"
"2","1","1","2","Gnocchi senza glutine con il pomodoro   ","Arrosto di maiale  ","Spinaci ","Frutta di stagione  ","Frutta di stagione  "
"2","1","1","3","Insalata di riso   ","Formaggio fresco  ","Insalata  ","Frutta di stagione  ","Gelato  senza glutine"
"2","1","1","4","Pasta senza glutine alla norma  "," Polpette di manzo   ","Piselli ","Frutta di stagione  ","Cracker senza glutine"
"2","1","1","5","Pasta al  Tonno","Filetto di merluzzo  ","Carote   ","Frutta di stagione  ","Succo 100% e biscotti secchi  senza glutine al cioccolato"
"2","1","2","1","Pasta senza glutine al pomodoro  ","Hamburger  ","Spinaci  ","Frutta di stagione  ","Yogurt"
"2","1","2","2","Lasagne al ragu senza glutine","Prosciutto    ","Insalata   ","Frutta di stagione  ","Budino  "
"2","1","2","3","Pasta senza glutine con olio e parmigiano  ","Formaggio spalmabile ","Zucchine  ","Frutta di stagione  ","Pane senza glutine e marmellata"
"2","1","2","4","Risotto allo zafferano  ","Petto di pollo  ","Fagiolini  ","Frutta di stagione  ","Gelato  senza glutine"
